time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.25,0.0430106,0.00697726,0.0505919,-0.284422,0.919796,-0.267569,0.39144,-0.0203184,-0.194574,-0.0348387,0.119999,0.0272976,-0.0028653,-0.321863,0.0594124,0.10482,0.100929,0.322119,-0.044863,0.00226426,-0.174873,0.0344959,-0.135239,-0.0636918,-0.199411,-0.29206,0.714157,1.18779,0.00180393,0.00287048,0.175291,-0.23377,0.0820759,1.19183,0.990634,-0.000125259,-0.00320579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.577093,0,-0.195776,-0.459752,2.52007,-1.53269,-1.0566,5.79163,-3.52244,0,0,0,0,0,0,0,0,0,0.00501877,0.0922772,0
0.26,0.0418509,0.00601033,0.0503321,-0.268659,0.929385,-0.266321,0.392735,-0.0171646,-0.190251,-0.0196685,0.130738,0.0272976,-0.0028653,-0.330925,0.0559503,0.0974179,0.110339,0.334223,-0.044863,0.00226426,-0.174209,0.0366633,-0.13649,-0.0656453,-0.199001,-0.29399,0.712462,1.1879,0.00180393,0.00287048,0.176023,-0.230037,0.0788951,1.19896,0.984793,-0.000125259,-0.00320579,-0.115968,-0.096693,-0.0259878,1.57628,0.958876,0.124789,0.129442,0.315382,0.432301,1.51702,1.07387,0,0,-0.906147,-0.346214,-0.740171,0.941068,1.21035,0,0,0.0664153,0.216748,-0.125101,-0.195345,0.0409973,-0.193047,-0.169431,0.0111137,0,0,0.0732181,0.373346,-0.318082,0.712425,-0.584038,0,0,15.186,0.0598301,-17.598,-0.12705,-0.527741,0.31731,-16.0438,-11.3048,-4.33844,8.62057,-1.36743,-4.05213,0.119169,17.2418,-9.1421,-0.95282,-1.20806,-0.2127,-0.22826,0.0659623,7.99822,4.18294,-1.66035,-0.755954,0.839102,0.360378,-0.103782,0.0212192,0.0525474,0.0394179,-6.93955,-0.320522,0.589512,-2.55836,0.0279259,-0.199279,0.293623,0.888915,-11.3948,1.4759,-0.167007,-9.34103,-0.290677,3.63188,6.76742,-9.84884,26.5442,-53.5744,0,0,18.7127,-16.4726,-25.218,38.3095,-12.5809,0,0,1.1541,15.0712,-5.12164,3.95107,-3.83901,15.2813,-2.22922,-4.72225,0,0,-15.5151,3.65556,-9.29849,-17.4902,11.0281,0,0,0,0,1,0,0.261884,0,-0.144119,0.0877595,3.72204,-1.0066,0.280026,11.8764,-3.21188,0,0,0,0,0,0,0,0,0,0.00356598,0.0802442,23.2531
0.27,0.0407801,0.00390392,0.0502198,-0.252913,0.938039,-0.265102,0.394392,-0.013334,-0.186913,-0.00184389,0.136119,0.0272976,-0.0028653,-0.338115,0.0508409,0.0874944,0.123581,0.345068,-0.044863,0.00226426,-0.173429,0.0403379,-0.138253,-0.0672036,-0.198975,-0.294392,0.710545,1.18754,0.00180393,0.00287048,0.175204,-0.225938,0.0747845,1.20433,0.980056,-0.000125259,-0.00320579,-0.107079,-0.210641,-0.0112288,1.57461,0.865466,0.121882,0.16576,0.383056,0.333813,1.78246,0.538128,0,0,-0.71902,-0.51094,-0.992351,1.32416,1.08455,0,0,0.0779563,0.36746,-0.176318,-0.155834,0.00260717,-0.0402342,-0.191724,-0.0361089,0,0,-0.0819326,0.409902,-0.411067,0.537523,-0.473758,0,0,10.3266,-0.0107478,-16.9707,0.309868,-1.04721,0.255458,-21.4525,-10.3854,-4.25546,11.4809,-1.35157,-4.03104,0.114255,17.7087,-7.79097,-0.905528,-1.41748,-0.189558,-0.190831,0.0618225,8.40525,3.88429,-1.35684,-0.675011,0.863309,0.367171,-0.0604374,0.0215493,0.0561628,0.0363885,-6.86177,-0.377287,0.551178,-2.53103,0.0252682,-0.202592,0.288019,0.931321,-11.2639,1.61125,-0.101586,-9.20704,-0.297537,3.18552,6.78069,-9.70529,24.9793,-53.5081,0,0,18.6205,-16.4066,-24.436,37.9629,-13.3858,0,0,1.28267,14.8673,-5.02302,3.74244,-3.68646,14.9376,-2.17732,-4.34993,0,0,-15.2755,3.6063,-8.90309,-17.8098,10.5237,0,0,0,0,1,0,0.132832,0,-0.148451,0.469409,4.13798,-0.452212,2.67939,23.6196,-2.58123,0,0,0,0,0,0,0,0,0,0.00246628,0.0694942,19.8973
0.28,0.0398025,0.000671125,0.0502686,-0.237177,0.945773,-0.263913,0.396369,-0.00882536,-0.184546,0.0184786,0.13615,0.0272976,-0.0028653,-0.343443,0.0440908,0.0751273,0.140619,0.354575,-0.044863,0.00226426,-0.172521,0.0454993,-0.140519,-0.0683877,-0.199317,-0.293301,0.70841,1.18675,0.00180393,0.00287048,0.172857,-0.221478,0.0697835,1.20792,0.97637,-0.000125259,-0.00320579,-0.0977659,-0.32328,0.00488372,1.57359,0.773396,0.118907,0.197616,0.450863,0.23676,2.03225,0.00304713,0,0,-0.532815,-0.675006,-1.23671,1.70379,0.950687,0,0,0.090783,0.516132,-0.226548,-0.118409,-0.0342574,0.109142,-0.213497,-0.0796082,0,0,-0.234687,0.445965,-0.500098,0.359425,-0.36852,0,0,3.4029,0.572882,-15.7291,0.454252,-0.813615,0.301259,-30.8551,-8.92082,-4.20422,15.9852,-1.11857,-4.01443,0.105339,18.9106,-6.09115,-0.831971,-1.8766,-0.16577,-0.136116,0.0592942,10.2542,2.96968,-0.421862,-0.50804,0.867107,0.367381,0.0365796,0.0212479,0.0621923,0.0282514,-6.73946,-0.499975,0.481891,-2.45659,0.0212612,-0.204121,0.277132,0.981904,-10.7303,2.06569,0.0450572,-8.94594,-0.2912,1.56766,6.48921,-9.51688,20.2282,-53.1781,0,0,18.5844,-16.126,-22.3127,37.1372,-15.7455,0,0,1.81391,14.0153,-4.76279,3.09642,-3.17856,13.7543,-2.09508,-3.60782,0,0,-14.582,3.43117,-7.69466,-18.755,9.50469,0,0,0,0,1,0,0.0850813,0,-0.162634,0.625611,4.2966,-0.128926,6.56274,45.0719,-1.35245,0,0,0,0,0,0,0,0,0,0.00165939,0.0600481,16.1329
0.29,0.038923,-0.0036347,0.050524,-0.221436,0.952613,-0.262753,0.398501,-0.00366781,-0.18313,0.040824,0.130862,0.0272976,-0.0028653,-0.346913,0.0357282,0.0605289,0.16137,0.362508,-0.044863,0.00226426,-0.171432,0.0520621,-0.143261,-0.0692622,-0.199978,-0.290834,0.706066,1.18559,0.00180393,0.00287048,0.169052,-0.216676,0.064013,1.20964,0.973636,-0.000125259,-0.00320579,-0.0879468,-0.430582,0.0255407,1.57404,0.683936,0.115995,0.213292,0.515755,0.141591,2.23454,-0.528734,0,0,-0.346971,-0.836266,-1.45984,2.07516,0.793233,0,0,0.108922,0.656286,-0.274176,-0.0874453,-0.0660431,0.246685,-0.234448,-0.115686,0,0,-0.380507,0.480276,-0.577045,0.171875,-0.273473,0,0,-2.32834,1.8087,-13.8527,-0.75834,-0.835251,0.121917,-43.9906,-7.07073,-4.1982,21.8383,-0.360444,-3.99313,0.0912833,21.5538,-4.0834,-0.717953,-2.76706,-0.14692,-0.0566847,0.0604642,15.2591,1.06188,1.24869,-0.306243,0.835197,0.352649,0.190566,0.0194817,0.070175,0.0136353,-6.58025,-0.698294,0.37612,-2.29955,0.0156268,-0.200906,0.257275,1.19962,-9.53171,2.92658,0.243508,-8.50214,-0.281706,-1.05178,5.42218,-9.24503,12.3841,-51.8123,0,0,18.8981,-15.334,-18.2422,36.1286,-20.3519,0,0,2.82518,12.1641,-4.37483,1.92994,-2.19572,11.4043,-2.01914,-2.6694,0,0,-13.3056,3.06442,-5.52353,-20.3359,7.81404,0,0,0,0,1,0,0.0657546,0,-0.172931,0.623757,4.39544,0.0439712,11.466,80.7981,0.80829,0,0,0,0,0,0,0,0,0,0.00110207,0.0521532,14.2083
0.3,0.0381635,-0.00889369,0.0510721,-0.205672,0.958602,-0.261621,0.400529,0.00203196,-0.182638,0.0644078,0.120394,0.0272976,-0.0028653,-0.348493,0.0258321,0.0441063,0.185735,0.368405,-0.044863,0.00226426,-0.17006,0.0598414,-0.14644,-0.0699436,-0.200858,-0.287227,0.703519,1.18416,0.00180393,0.00287048,0.163916,-0.211566,0.0576902,1.20933,0.971682,-0.000125259,-0.00320579,-0.0759506,-0.5259,0.0548065,1.57648,0.598915,0.113178,0.202774,0.569977,0.0491409,2.35838,-1.04686,0,0,-0.15799,-0.989606,-1.64226,2.43645,0.589714,0,0,0.137174,0.777927,-0.317924,-0.0681459,-0.0880003,0.360729,-0.254639,-0.14238,0,0,-0.513563,0.510921,-0.63228,-0.0314844,-0.195333,0,0,-12.6686,5.94322,-10.9186,0.56699,-0.634627,0.389997,-59.2826,-4.59045,-4.21725,27.6104,1.21466,-3.93173,0.0713086,23.689,-2.26665,-0.555454,-3.44629,-0.152338,0.0396448,0.0663662,19.2267,-0.670153,3.61031,-0.0679218,0.75015,0.318273,0.362196,0.0157139,0.0759124,-0.00238463,-6.36501,-0.937514,0.25518,-2.10144,0.00938714,-0.195619,0.23463,1.06061,-7.34317,4.15413,0.416208,-7.89101,-0.276607,-4.01976,3.19982,-8.98795,3.7082,-47.7917,0,0,19.7836,-13.7029,-11.8297,35.4698,-27.639,0,0,3.96253,9.16437,-3.87583,0.354383,-0.688068,7.64305,-1.94491,-1.80691,0,0,-11.4294,2.44521,-2.4593,-22.3329,5.83228,0,0,0,0,1,0,0.0587085,0,-0.179542,0.46232,4.46081,0.136163,13.6175,131.392,4.01064,0,0,0,0,0,0,0,0,0,0.000744329,0.0527768,17.7738
0.31,0.0375101,-0.014887,0.0520356,-0.189865,0.963802,-0.260517,0.402155,0.00805171,-0.183046,0.0883624,0.105146,0.0272976,-0.0028653,-0.348094,0.0145658,0.0265007,0.213646,0.371538,-0.044863,0.00226426,-0.168292,0.0685371,-0.150007,-0.0705897,-0.201806,-0.282855,0.700778,1.18256,0.00180393,0.00287048,0.157638,-0.206213,0.0511215,1.20678,0.970312,-0.000125259,-0.00320579,-0.0653445,-0.599331,0.0963477,1.58064,0.520005,0.110412,0.162577,0.601975,-0.0407386,2.39546,-1.52477,0,0,0.0398455,-1.12663,-1.76056,2.79115,0.313324,0,0,0.176799,0.869571,-0.356682,-0.0646021,-0.0948809,0.437159,-0.274088,-0.160449,0,0,-0.627857,0.535373,-0.656873,-0.254813,-0.13701,0,0,-18.5525,10.6464,-6.74854,-1.05785,-0.160917,1.64496,-70.0067,-2.35877,-4.21774,29.6264,3.80087,-3.79163,0.0443434,25.1965,-0.289622,-0.384479,-3.85464,-0.19331,0.157801,0.0779788,23.5592,-2.81717,6.49777,0.0721616,0.588643,0.256581,0.518588,0.0095878,0.0770735,-0.0186836,-6.29492,-1.19875,0.136384,-1.89408,0.00342741,-0.188471,0.211464,0.691008,-4.33063,5.57525,0.371116,-7.18526,-0.267357,-6.37447,-0.173942,-9.08761,-3.00882,-39.2151,0,0,21.5928,-11.0889,-3.60585,35.7942,-37.4222,0,0,4.98725,5.11407,-3.22663,-1.32674,1.17392,2.87679,-1.81915,-1.5599,0,0,-9.10731,1.57986,1.01283,-24.2513,3.85972,0,0,0,0,1,0,0.0574577,0,-0.183765,0.176572,4.42859,0.181888,7.6009,190.638,7.82974,0,0,0,0,0,0,0,0,0,0.000532162,0.0546051,22.5153
0.32,0.0369257,-0.0213134,0.0535566,-0.174022,0.968284,-0.25944,0.403143,0.0140541,-0.184362,0.112016,0.0859768,0.0272976,-0.0028653,-0.345536,0.00219053,0.00853453,0.245137,0.370929,-0.044863,0.00226426,-0.166026,0.0777442,-0.153896,-0.0713683,-0.202638,-0.278196,0.697855,1.1808,0.00180393,0.00287048,0.150448,-0.200701,0.044654,1.20181,0.969328,-0.000125259,-0.00320579,-0.0584344,-0.642637,0.1521,1.58435,0.448152,0.107738,0.098832,0.600236,-0.131615,2.36537,-1.91693,0,0,0.255773,-1.23752,-1.79662,3.14909,-0.0608987,0,0,0.226672,0.920711,-0.388949,-0.0778695,-0.0831417,0.465927,-0.29228,-0.176049,0,0,-0.71893,0.551171,-0.646745,-0.497326,-0.0984131,0,0,-14.0436,13.2421,-2.29947,-0.00787607,-0.135978,0.925527,-71.8911,-1.25344,-4.11062,26.1191,7.06068,-3.52084,0.0106513,27.1303,1.81046,-0.242095,-4.22604,-0.265548,0.293458,0.0951282,27.9376,-6.1621,9.44146,0.141472,0.401044,0.18145,0.66357,0.00186282,0.0758337,-0.0357568,-6.32566,-1.49929,0.0124581,-1.6863,-0.00221221,-0.179448,0.186447,0.555065,-0.973703,6.83,0.117739,-6.46924,-0.271946,-7.81479,-4.1338,-9.4559,-6.11114,-25.1753,0,0,24.1925,-7.73994,5.49695,37.3518,-49.1515,0,0,5.35234,0.500521,-2.35775,-2.76981,3.05426,-1.99846,-1.47945,-2.27005,0,0,-6.49837,0.507152,4.3368,-25.4824,2.13157,0,0,0,0,1,0,0.059487,0,-0.186162,-0.129474,4.22062,0.188873,-7.66602,249.899,11.183,0,0,0,0,0,0,0,0,0,0.000418544,0.0569022,19.4613
0.33,0.0363969,-0.0278371,0.0557606,-0.158166,0.972118,-0.25839,0.40335,0.019643,-0.186623,0.135059,0.06429,0.0272976,-0.0028653,-0.340559,-0.0109587,-0.00888194,0.280363,0.365405,-0.044863,0.00226426,-0.163224,0.0870014,-0.158021,-0.072424,-0.203164,-0.273737,0.694785,1.17881,0.00180393,0.00287048,0.142609,-0.195138,0.0386203,1.19429,0.968557,-0.000125259,-0.00320579,-0.0528837,-0.652375,0.2204,1.58553,0.38346,0.105019,0.0206841,0.558898,-0.226174,2.30426,-2.16868,0,0,0.497698,-1.31492,-1.74165,3.52261,-0.552414,0,0,0.280195,0.925717,-0.412526,-0.105568,-0.0525991,0.445943,-0.307074,-0.198749,0,0,-0.783914,0.556243,-0.603377,-0.752149,-0.0770974,0,0,-4.91393,13.2716,1.40176,0.180972,0.188417,-0.210999,-68.5633,-1.86272,-3.73013,19.2078,10.4026,-3.0746,-0.0279345,29.1755,3.80002,-0.158267,-4.44923,-0.354015,0.427992,0.114441,31.1051,-10.1476,11.9946,0.125779,0.166106,0.100201,0.787368,-0.00635592,0.0730638,-0.0523582,-6.3693,-1.80674,-0.110011,-1.46786,-0.00720106,-0.167142,0.158976,0.949443,2.16303,7.54,-0.361565,-5.73231,-0.252268,-8.71974,-7.67255,-9.44391,-5.73416,-6.79469,0,0,27.0483,-4.17353,14.3412,39.9203,-61.9439,0,0,4.40448,-3.94549,-1.11107,-3.66942,4.57349,-5.89411,-0.732132,-4.04939,0,0,-3.69623,-0.708088,7.03131,-25.5314,0.802589,0,0,0,0,1,0,0.0635497,0,-0.186843,-0.351311,3.86747,0.157218,-27.9437,307.623,12.5053,0,0,0,0,0,0,0,0,0,0.00036738,0.059046,14.2253
0.34,0.035963,-0.0341446,0.0587186,-0.142347,0.975379,-0.257365,0.402685,0.0244648,-0.18983,0.157528,0.0419237,0.0272976,-0.0028653,-0.332878,-0.0245253,-0.0248643,0.319582,0.353686,-0.044863,0.00226426,-0.159981,0.095864,-0.162258,-0.0738466,-0.203233,-0.269867,0.691641,1.17642,0.00180393,0.00287048,0.134401,-0.189647,0.0332896,1.18421,0.967866,-0.000125259,-0.00320579,-0.0433893,-0.630744,0.2958,1.58191,0.326137,0.102496,-0.0665133,0.482172,-0.320613,2.24692,-2.23663,0,0,0.768182,-1.35666,-1.59824,3.92181,-1.17185,0,0,0.32424,0.886262,-0.423637,-0.142262,-0.00686415,0.387002,-0.314395,-0.239243,0,0,-0.820876,0.549162,-0.533064,-1.00746,-0.0690715,0,0,2.76994,14.197,3.75929,-0.858149,-0.967782,0.00627956,-65.5295,-3.69753,-2.96271,11.9247,13.3615,-2.45865,-0.0677442,31.5692,4.91798,-0.104858,-4.62739,-0.421709,0.529482,0.129996,32.8123,-12.873,14.0234,0.119026,-0.131248,0.0246694,0.914444,-0.0142354,0.0726637,-0.0697133,-6.24458,-2.09176,-0.242109,-1.17711,-0.0117444,-0.148149,0.123343,1.94902,4.6936,7.4213,-0.987637,-4.93573,-0.172169,-9.47665,-9.7268,-8.2523,-3.44559,13.0531,0,0,29.7505,-0.969228,21.9373,42.7569,-74.5134,0,0,2.08934,-7.46923,0.70143,-3.8466,5.49963,-8.23567,0.54307,-6.73823,0,0,-0.813594,-1.9618,8.78666,-24.1163,-0.0243986,0,0,0,0,1,0,0.068867,0,-0.186069,-0.455388,3.50972,0.103193,-47.8451,368.748,10.8419,0,0,0,0,0,0,0,0,0,0.000355523,0.0605421,15.0011
0.35,0.035724,-0.0399827,0.0624187,-0.126627,0.978147,-0.256357,0.401072,0.0283138,-0.193861,0.179652,0.0208628,0.0272976,-0.0028653,-0.322221,-0.0381888,-0.0386529,0.363075,0.334516,-0.044863,0.00226426,-0.15653,0.10398,-0.166424,-0.0756539,-0.202751,-0.26682,0.688551,1.17335,0.00180393,0.00287048,0.12611,-0.184351,0.0288377,1.17172,0.967173,-0.000125259,-0.00320579,-0.0238991,-0.583808,0.370013,1.57204,0.276779,0.100774,-0.16128,0.384904,-0.403136,2.21246,-2.10609,0,0,1.06569,-1.36635,-1.37886,4.34938,-1.91699,0,0,0.345133,0.811569,-0.416623,-0.180728,0.0481321,0.304645,-0.308965,-0.306625,0,0,-0.829012,0.529544,-0.445197,-1.24863,-0.0693155,0,0,8.44712,14.588,4.37522,-0.182674,-0.29178,0.6516,-64.2017,-7.12923,-1.77074,5.03458,15.753,-1.76857,-0.104983,34.7013,5.23178,-0.0739443,-4.92678,-0.424946,0.581096,0.13366,33.8201,-15.1148,15.4113,0.257648,-0.485406,-0.053988,1.1076,-0.0228243,0.0771389,-0.0948719,-5.81808,-2.39273,-0.403333,-0.760377,-0.0165554,-0.119529,0.0737461,3.18904,6.15464,6.32524,-1.63703,-4.05496,-0.0215717,-9.99089,-9.70862,-5.53461,-1.15913,31.1258,0,0,32.2823,1.50801,27.5717,44.8307,-85.0602,0,0,-0.825937,-9.67254,3.1807,-3.27408,5.86317,-9.48572,2.28902,-9.87928,0,0,1.93532,-3.09748,9.47458,-21.2059,-0.213081,0,0,0,0,1,0,0.0747244,0,-0.184459,-0.487752,3.26488,0.0445953,-65.0839,435.654,5.95064,0,0,0,0,0,0,0,0,0,0.000363322,0.0610913,17.4313
0.36,0.0358039,-0.0452053,0.0667514,-0.11107,0.98051,-0.255351,0.39846,0.031192,-0.198446,0.201661,0.0029144,0.0272976,-0.0028653,-0.308336,-0.0517015,-0.0496844,0.411052,0.306841,-0.044863,0.00226426,-0.153161,0.111128,-0.170272,-0.0777886,-0.201684,-0.264722,0.68569,1.1693,0.00180393,0.00287048,0.118014,-0.179366,0.0253332,1.15712,0.966459,-0.000125259,-0.00320579,0.00799133,-0.522262,0.433266,1.55567,0.23623,0.100559,-0.261189,0.287818,-0.458482,2.20087,-1.79484,0,0,1.38851,-1.35127,-1.10315,4.79769,-2.76759,0,0,0.336874,0.714844,-0.384816,-0.213469,0.106764,0.209788,-0.286074,-0.405418,0,0,-0.809659,0.498569,-0.350451,-1.46068,-0.0714463,0,0,11.5243,12.9325,3.23382,-0.224653,-0.10144,0.410798,-63.6415,-12.4168,-0.190968,-2.22836,17.4977,-1.10522,-0.135741,37.3805,4.79608,-0.0633216,-5.09251,-0.343855,0.566014,0.119225,33.7924,-17.7019,15.9916,0.502957,-0.857655,-0.124635,1.34688,-0.0303003,0.0863604,-0.12479,-5.14513,-2.70852,-0.58192,-0.269814,-0.0217783,-0.0850887,0.015427,4.33955,6.32827,4.35718,-2.28073,-3.18382,0.183807,-10.6121,-7.55762,-1.54561,-0.451941,44.7594,0,0,34.0732,3.00097,30.489,45.0414,-91.7688,0,0,-3.94168,-10.4163,6.12625,-2.02537,5.51962,-9.05679,4.2904,-13.0398,0,0,4.38251,-3.98045,9.02492,-17.1178,0.0684244,0,0,0,0,1,0,0.0806631,0,-0.182578,-0.503618,3.15739,-0.0107746,-80.5861,505.227,-1.72409,0,0,0,0,0,0,0,0,0,0.000372652,0.0606524,17.628
0.37,0.0363178,-0.0497951,0.0715197,-0.0957417,0.982553,-0.254327,0.394787,0.0333144,-0.203185,0.223625,-0.010558,0.0272976,-0.0028653,-0.291043,-0.0649141,-0.0576669,0.463533,0.269988,-0.044863,0.00226426,-0.150187,0.117235,-0.173508,-0.0801258,-0.200064,-0.26353,0.683259,1.16394,0.00180393,0.00287048,0.110356,-0.174778,0.0227311,1.1408,0.965751,-0.000125259,-0.00320579,0.0513868,-0.458979,0.476837,1.53286,0.204392,0.102397,-0.367309,0.212242,-0.473938,2.19635,-1.34724,0,0,1.72924,-1.32126,-0.798256,5.2481,-3.68528,0,0,0.297457,0.610681,-0.323553,-0.233722,0.16196,0.11922,-0.24317,-0.535816,0,0,-0.765834,0.458765,-0.260202,-1.63186,-0.070762,0,0,11.702,9.91263,1.05605,0.180945,0.503541,0.193337,-62.4981,-19.1231,1.66865,-10.3763,18.4364,-0.477157,-0.157302,38.5512,3.65519,-0.0488468,-4.90929,-0.161197,0.471155,0.0812408,32.4276,-20.3289,15.8398,0.85808,-1.24117,-0.183193,1.61688,-0.0353791,0.0995896,-0.156873,-4.27596,-3.00164,-0.75764,0.250782,-0.0271346,-0.0480164,-0.0456945,5.08253,5.40958,1.81163,-2.83707,-2.39006,0.426323,-11.3718,-3.82232,2.91634,-1.93213,52.5849,0,0,34.5685,3.53173,30.342,42.3952,-92.6435,0,0,-6.72973,-9.87065,9.20367,-0.323183,4.48953,-6.95575,6.27524,-15.5048,0,0,6.34626,-4.52384,7.63547,-12.3903,0.634154,0,0,0,0,1,0,0.086524,0,-0.180715,-0.514789,3.104,-0.0591437,-95.0745,573.267,-10.923,0,0,0,0,0,0,0,0,0,0.00037261,0.0592235,15.383
0.38,0.0373399,-0.0538439,0.0764693,-0.0806968,0.984358,-0.253261,0.389977,0.0350546,-0.207633,0.245395,-0.018772,0.0272976,-0.0028653,-0.270294,-0.0777735,-0.0626153,0.520254,0.223871,-0.044863,0.00226426,-0.147885,0.122355,-0.175823,-0.0824954,-0.197995,-0.263033,0.681455,1.15703,0.00180393,0.00287048,0.103332,-0.170643,0.0208927,1.12324,0.965107,-0.000125259,-0.00320579,0.102212,-0.404883,0.494954,1.50449,0.180491,0.10666,-0.481028,0.174018,-0.444775,2.17703,-0.821393,0,0,2.07493,-1.28594,-0.494836,5.67205,-4.61171,0,0,0.23016,0.511975,-0.231516,-0.236954,0.206855,0.0496623,-0.180418,-0.690864,0,0,-0.702371,0.413526,-0.183847,-1.75577,-0.0644205,0,0,8.92044,6.42963,-1.22985,1.05571,1.88644,0.360865,-60.3345,-26.3876,3.6442,-19.1969,18.4347,0.150072,-0.168305,37.54,2.09622,-0.0245231,-4.27055,0.127387,0.300983,0.0170901,30.041,-22.7573,15.1306,1.30294,-1.62282,-0.229568,1.89895,-0.0371288,0.115424,-0.188632,-3.31777,-3.23561,-0.905425,0.754413,-0.0319335,-0.0110603,-0.102863,5.26389,3.8275,-0.917343,-3.23373,-1.71609,0.668037,-12.162,0.556082,6.91721,-5.44848,54.3304,0,0,33.307,3.3613,27.2395,36.2719,-85.7948,0,0,-8.7294,-8.48144,12.0136,1.55581,2.93474,-3.65596,7.94911,-16.4006,0,0,7.64855,-4.71716,5.71905,-7.62243,1.29935,0,0,0,0,1,0,0.0921813,0,-0.179013,-0.508916,2.99359,-0.0939111,-108.253,636.777,-19.9762,0,0,0,0,0,0,0,0,0,0.000360597,0.0566654,11.2796
